  Scout Number  Scout Location      Game Number  Game Location        Date      Team 1                Team 2                   Game Weight
--------------  ----------------  -------------  -------------------  --------  --------------------  ---------------------  -------------
             0  Charlotte, NC               403  Conway,SC            11/18/21  East Carolina         Oklahoma                           2
             0  Charlotte, NC               504  Charleston,SC        11/21/21  Mississippi           Boise State                        9
             0  Charlotte, NC              1304  Greenville,NC        12/21/21  East Carolina         Southern Mississippi               2
             0  Charlotte, NC              1545  Highland Heights,KY  1/1/22    Northern Kentucky     UW Milwaukee                       6
             0  Charlotte, NC              1622  Winston-Salem,NC     1/4/22    Wake Forest           Florida State                     14
             0  Charlotte, NC              1761  Macomb,IL            1/8/22    Not a priority team   Oral Roberts                       5
             0  Charlotte, NC              1888  Huntington,WV        1/13/22   Marshall              North Texas                        6
             0  Charlotte, NC              1934  Nashville,TN         1/15/22   Belmont               Murray State                       7
             0  Charlotte, NC              2219  Athens,GA            1/25/22   Georgia               Alabama                           23
             0  Charlotte, NC              2254  Evansville,IN        1/26/22   Evansville            Northern Iowa                      4
             0  Charlotte, NC              2271  Boone,NC             1/27/22   Appalachian State     Arkansas State                     2
             0  Charlotte, NC              2420  Knoxville,TN         2/1/22    Tennessee             Texas A&M                         24
             0  Charlotte, NC              2477  Charlotte,NC         2/3/22    Charlotte             Western Kentucky                   3
             0  Charlotte, NC              2720  Rock Hill,SC         2/12/22   Winthrop              Presbyterian                       2
             0  Charlotte, NC              2853  Conway,SC            2/17/22   Coastal Carolina      South Alabama                      4
             0  Charlotte, NC              2930  Davidson,NC          2/19/22   Davidson              St. Louis                          8
             1  Charlotte, NC               399  Columbia,SC          11/18/21  South Carolina        UAB                                5
             1  Charlotte, NC               687  Davidson,NC          11/27/21  Davidson              Robert Morris (PA)                 6
             1  Charlotte, NC               811  Athens,GA            12/1/21   Georgia               Memphis                           30
             1  Charlotte, NC               960  Rock Hill,SC         12/7/21   Winthrop              Furman                             2
             1  Charlotte, NC              1488  Boone,NC             12/30/21  Appalachian State     Louisiana Lafayette                5
             1  Charlotte, NC              1617  Columbia,SC          1/4/22    South Carolina        Auburn                            18
             1  Charlotte, NC              1895  Charlotte,NC         1/13/22   Charlotte             UTEP                               2
             1  Charlotte, NC              1931  Columbia,SC          1/15/22   South Carolina        Florida                           11
             1  Charlotte, NC              2247  Columbia,SC          1/26/22   South Carolina        Vanderbilt                         5
             1  Charlotte, NC              2445  Athens,GA            2/2/22    Georgia               Arkansas                           9
             1  Charlotte, NC              2680  Charlotte,NC         2/10/22   Charlotte             Louisiana Tech                     2
             1  Charlotte, NC              2732  Winston-Salem,NC     2/12/22   Wake Forest           Miami (FL)                         8
             1  Charlotte, NC              2931  Columbia,SC          2/19/22   South Carolina        LSU                               13
             1  Charlotte, NC              2988  Chapel Hill,NC       2/21/22   North Carolina        Louisville                        27
             1  Charlotte, NC              3013  Columbia,SC          2/23/22   South Carolina        Mississippi State                 13
             1  Charlotte, NC              3134  Charlotte,NC         2/26/22   Charlotte             Florida Atlantic                   2
             1  Charlotte, NC              3192  Columbia,SC          3/1/22    South Carolina        Missouri                           4
             1  Charlotte, NC              3214  Clemson,SC           3/2/22    Clemson               Georgia Tech                       4
